customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
7590-VHVEG,0,1,29.85,29.85,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False
5575-GNVDE,0,34,56.95,1889.5,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
3668-QPYBK,0,2,53.85,108.15,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True
7795-CFOCW,0,45,42.3,1840.75,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False
9237-HQITU,0,2,70.7,151.65,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True
9305-CDSKC,0,8,99.65,820.5,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,True
1452-KIOVK,0,22,89.1,1949.4,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False
6713-OKOMC,0,10,29.75,301.9,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
7892-POOKP,0,28,104.8,3046.05,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,True
6388-TABGU,0,62,56.15,3487.95,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False
9763-GRSKD,0,13,49.95,587.45,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
7469-LKBCI,0,16,18.95,326.8,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False
8091-TTVAX,0,58,100.35,5681.1,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0280-XJGEX,0,49,103.7,5036.3,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True
5129-JLPIS,0,25,105.5,2686.05,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
3655-SNQYZ,0,69,113.25,7895.15,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False
8191-XWSZG,0,52,20.65,1022.95,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False
9959-WOFKT,0,71,106.7,7382.25,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False
4190-MFLUW,0,10,55.2,528.35,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True
4183-MYFRB,0,21,90.05,1862.9,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False
8779-QRDMV,1,1,39.65,39.65,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True
1680-VDCWW,0,12,19.8,202.25,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False
1066-JKSGK,0,1,20.15,20.15,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True
3638-WEABW,0,58,59.9,3505.1,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False
6322-HRPFA,0,49,59.6,2970.3,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False
6865-JZNKO,0,30,55.3,1530.6,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False
